mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;;10/01/2020 - 20:09;0;0;0;0;7,83;;;;;;;;;;72,8;;
;;10/01/2020 - 21:09;0;0;0;0;8,36;;;;;;;;;;69,6;;
;;10/01/2020 - 22:09;0;0;0;0;8,25;;;;;;;;;;70,3;;
;;10/01/2020 - 23:09;0;0;0;0;8,03;7,88;;6,9775;;;;;;;71,6;;
;sabato;11/01/2020 - 00:09;0;0;0;0;7,87;;;;;;;;;;72,6;1697,56;
;;11/01/2020 - 01:09;0;0;0;0;7,73;;;;;;;;;;73,4;;
;;11/01/2020 - 02:09;0;0;0;0;7,53;;;;;;;;;;74,6;;
;;11/01/2020 - 03:09;0;0;0;0;6,03;;;;;;;;;;83,6;;
;;11/01/2020 - 04:09;0;0;0;0;5,4;;;;;;;;;;87,4;;
;;11/01/2020 - 05:09;0;0;0;0;5,01;;;;;;;;;;89,7;;
;;11/01/2020 - 06:09;0;0;0;0;5,2;;;;;;;;;;88,5;;
;;11/01/2020 - 07:09;0;0;0;0;5,55;;;;;;;;;;86,5;;
;;11/01/2020 - 08:09;0;0;0;0;5,74;;;;;;;;;;85,3;;
;;11/01/2020 - 09:09;56,84;69,67;1,2;8,68;6,41;;;;;;;;;;81,3;;
;;11/01/2020 - 10:09;23,83;124,73;2,12;17,7;8,12;;;;;;;;;;71,1;;
;;11/01/2020 - 11:09;128,09;218,08;4,15;24,92;9,57;;;;;;;;;;62,4;;
;;11/01/2020 - 12:09;199,25;265,75;5,4;29,64;10,64;;;;;;;;;;56,0;;
;;11/01/2020 - 13:09;697,12;170,74;7,94;31,26;11,11;;;;;;;;;;53,2;;
;;11/01/2020 - 14:09;431;237,33;6,64;29,52;11,22;;;;;;;;;;52,5;;
;;11/01/2020 - 15:09;280,47;214,05;5,11;24,69;11,24;;;;;;;;;;52,4;;
;;11/01/2020 - 16:09;237,93;147,8;3,62;17,4;11,08;;;;;;;;;;53,4;;
;;11/01/2020 - 17:09;73,18;68,03;1,29;8,32;10,63;;;;;;;;;;56,1;;
;;11/01/2020 - 18:09;0;0;0;0;9,71;;;;;;;;;;61,6;;
;;11/01/2020 - 19:09;0;0;0;0;8,93;;;;;;;;;;66,2;;
;;11/01/2020 - 20:09;0;0;0;0;8,38;;;;;;;;;;69,5;;
;;11/01/2020 - 21:09;0;0;0;0;8,07;;;;;;;;;;71,4;;
;;11/01/2020 - 22:09;0;0;0;0;7,7;;;;;;;;;;73,6;;
;;11/01/2020 - 23:09;0;0;0;0;7,4;8,18;;7,76;;;;;;;75,4;;
;domenica;12/01/2020 - 00:09;0;0;0;0;7,09;;;;;;;;;;77,2;1672,14;
;;12/01/2020 - 01:09;0;0;0;0;7,01;;;;;;;;;;77,7;;
;;12/01/2020 - 02:09;0;0;0;0;6,81;;;;;;;;;;78,9;;
;;12/01/2020 - 03:09;0;0;0;0;6,69;;;;;;;;;;79,6;;
;;12/01/2020 - 04:09;0;0;0;0;6,53;;;;;;;;;;80,6;;
;;12/01/2020 - 05:09;0;0;0;0;6,3;;;;;;;;;;82,0;;
;;12/01/2020 - 06:09;0;0;0;0;6,16;;;;;;;;;;82,8;;
;;12/01/2020 - 07:09;0;0;0;0;5,92;;;;;;;;;;84,2;;
;;12/01/2020 - 08:09;0;0;0;0;5,76;;;;;;;;;;85,2;;
;;12/01/2020 - 09:09;206,95;80,39;1,73;8,73;6,52;;;;;;;;;;80,7;;
;;12/01/2020 - 10:09;295,53;155,54;3,79;17,78;8,07;;;;;;;;;;71,4;;
;;12/01/2020 - 11:09;101,38;212,58;3,94;25,02;9,59;;;;;;;;;;62,3;;
;;12/01/2020 - 12:09;606,5;192,09;7,28;29,78;10,77;;;;;;;;;;55,2;;
;;12/01/2020 - 13:09;0;83,19;1,35;31,42;11,37;;;;;;;;;;51,6;;
;;12/01/2020 - 14:09;178,97;260,82;5,28;29,7;11,61;;;;;;;;;;50,2;;
;;12/01/2020 - 15:09;56,21;196,19;3,5;24,87;11,32;;;;;;;;;;51,9;;
;;12/01/2020 - 16:09;36,52;131,56;2,32;17,58;10,85;;;;;;;;;;54,7;;
;;12/01/2020 - 17:09;20,59;56,57;0,98;8,5;10,77;;;;;;;;;;55,2;;
;;12/01/2020 - 18:09;0;0;0;0;10;;;;;;;;;;59,8;;
;;12/01/2020 - 19:09;0;0;0;0;8,98;;;;;;;;;;65,9;;
